trade_id,price,qty,timestamp,is_buyer_maker
290500131,0.3789,5926.9,1660148239280,1
290500132,0.3789,38.9,1660148239386,1
290500133,0.3788,7501.2,1660148239455,1
290500134,0.3789,15.3,1660148240213,0
290500135,0.3788,15.0,1660148240461,1
290500136,0.3788,389.0,1660148241385,1
290500137,0.3788,791.9,1660148244130,1
290500138,0.3789,15.4,1660148244205,0
290500139,0.3788,25471.2,1660148244265,1
290500140,0.3789,98129.9,1660148244572,0
290500141,0.379,206737.9,1660148244572,0
290500142,0.3791,195132.2,1660148244573,0
290500143,0.379,69410.0,1660148244592,1
290500144,0.379,927.3,1660148246598,0
290500145,0.379,15.4,1660148248205,0
290500146,0.379,438.9,1660148248927,0
290500147,0.3789,100.0,1660148250602,1
290500148,0.379,4556.6,1660148251020,0
290500149,0.379,348.0,1660148252101,0
290500150,0.379,15.3,1660148252235,0
290500151,0.379,21000.0,1660148252386,0
290500152,0.379,4763.0,1660148254424,0
290500153,0.3791,24151.6,1660148254424,0
290500154,0.379,7965.3,1660148254586,1
290500155,0.3791,15.4,1660148256206,0
290500156,0.3791,26.3,1660148256500,0
290500157,0.379,1852.0,1660148257434,1
290500158,0.379,74323.9,1660148257693,1
290500159,0.3789,39388.9,1660148258010,1
290500160,0.3788,13409.8,1660148258803,1
290500161,0.3789,324.2,1660148260207,0
290500162,0.3788,30863.8,1660148262371,1
290500163,0.3788,104095.7,1660148262511,1
290500164,0.3787,361.9,1660148262811,1
290500165,0.3788,15.4,1660148264229,0
290500166,0.3787,57.2,1660148265616,1
290500167,0.3788,33944.5,1660148266480,0
290500168,0.3788,43535.2,1660148267932,1
290500169,0.3789,15.3,1660148268206,0
290500170,0.3788,26.4,1660148268412,1
290500171,0.3789,39.5,1660148268620,0
290500172,0.3788,5029.2,1660148269054,1
290500173,0.3789,37.7,1660148271028,0
290500174,0.3789,1031.1,1660148271524,0
290500175,0.3789,15.4,1660148272225,0
290500176,0.3789,1132.8,1660148272443,0
290500177,0.3789,16.5,1660148272731,0
290500178,0.3789,142.9,1660148273189,0
290500179,0.3788,8097.1,1660148273862,1
290500180,0.3789,26385.2,1660148275146,0
290500181,0.3789,15.4,1660148276227,0
290500182,0.3788,496.8,1660148276898,1
290500183,0.3789,30.1,1660148277601,0
290500184,0.3788,2728.3,1660148277617,1
290500185,0.3789,15.0,1660148278016,0
290500186,0.3788,162.1,1660148279416,1
290500187,0.3789,15.3,1660148280264,0
290500188,0.3788,4580.2,1660148281403,1
290500189,0.3789,9539.7,1660148281623,0
290500190,0.3789,157.8,1660148282175,0
290500191,0.3788,689.2,1660148282408,1
290500192,0.3788,15.0,1660148282653,1
290500193,0.3789,6598.0,1660148283027,0
290500194,0.3788,11412.8,1660148283867,1
290500195,0.3788,15.4,1660148284235,0
290500196,0.3787,26.4,1660148284395,1
290500197,0.3787,17337.6,1660148286829,1
290500198,0.3787,15039.5,1660148286971,0
290500199,0.3786,1699.5,1660148287015,1
290500200,0.3787,53.4,1660148288034,0
290500201,0.3787,158.3,1660148288256,0
290500202,0.3786,1336.7,1660148288480,1
290500203,0.3786,2755.5,1660148289377,1
290500204,0.3785,442.0,1660148289473,1
290500205,0.3785,154.6,1660148289662,1
290500206,0.3786,15.4,1660148292211,0
290500207,0.3786,45567.0,1660148292313,0
290500208,0.3786,195.5,1660148292446,1
290500209,0.3787,20.1,1660148293519,0
290500210,0.3786,201.3,1660148295795,1
290500211,0.3787,15.3,1660148296221,0
290500212,0.3787,36.4,1660148296345,0
290500213,0.3787,6631.2,1660148297680,0
290500214,0.3786,792.1,1660148298731,1
290500215,0.3787,4427.8,1660148299076,0
290500216,0.3788,188.7,1660148299155,0
290500217,0.3788,15.4,1660148300236,0
290500218,0.3787,26.4,1660148300292,1
290500219,0.3788,329.9,1660148300558,0
290500220,0.3787,42.0,1660148300756,1
290500221,0.3788,143.0,1660148301199,0
290500222,0.3787,370.7,1660148301433,1
290500223,0.3788,255.0,1660148301509,0
290500224,0.3788,23.8,1660148301767,0
290500225,0.3787,37.1,1660148301845,1
290500226,0.3787,25758.1,1660148302176,1
290500227,0.3788,15.4,1660148304242,0
290500228,0.3787,2924.6,1660148306482,1
290500229,0.3787,38424.0,1660148307258,1
290500230,0.3787,15.3,1660148308209,0
290500231,0.3787,2747.2,1660148308812,0
290500232,0.3786,47.9,1660148310063,1
290500233,0.3786,21679.3,1660148310219,1
290500234,0.3787,15.4,1660148312217,0
290500235,0.3787,143.0,1660148314220,0
290500236,0.3786,1718.9,1660148315545,1
290500237,0.3786,197.7,1660148316194,1
290500238,0.3787,15.3,1660148316230,0
290500239,0.3786,205.8,1660148316954,1
290500240,0.3786,20.5,1660148318547,1
290500241,0.3787,1131.4,1660148319308,0
290500242,0.3786,66.0,1660148319440,1
290500243,0.3787,10000.0,1660148319667,0
290500244,0.3787,15.4,1660148320229,0
290500245,0.3786,6.6,1660148322016,1
290500246,0.3786,14671.0,1660148323696,1
290500247,0.3787,15.3,1660148324203,0
290500248,0.3787,509.7,1660148324345,0
290500249,0.3787,143.0,1660148327515,0
290500250,0.3787,15.4,1660148328205,0
290500251,0.3787,39294.3,1660148328812,0
290500252,0.3787,16.0,1660148330497,0
290500253,0.3786,14.0,1660148330931,1
290500254,0.3787,36.1,1660148331339,0
290500255,0.3787,15.3,1660148332203,0
290500256,0.3787,15.4,1660148336223,0
290500257,0.3787,1322.1,1660148337572,0
290500258,0.3787,143.0,1660148339544,0
290500259,0.3787,15.4,1660148340206,0
290500260,0.3787,29615.8,1660148341458,0
290500261,0.3786,50.1,1660148341481,1
290500262,0.3787,572.4,1660148341592,0
290500263,0.3787,15.3,1660148344203,0
290500264,0.3787,15.4,1660148348203,0
290500265,0.3787,11134.9,1660148352206,0
290500266,0.3788,143.0,1660148352690,0
290500267,0.3787,233.5,1660148353274,1
290500268,0.3787,792.1,1660148354524,1
290500269,0.3788,15.4,1660148356205,0
290500270,0.3787,16368.9,1660148356912,1
290500271,0.3787,1116.8,1660148357543,1
290500272,0.3787,2651.8,1660148359119,1
290500273,0.3788,1055.9,1660148359148,0
290500274,0.3788,15.3,1660148360204,0
290500275,0.3787,108.0,1660148360204,1
290500276,0.3787,235.6,1660148360644,1
290500277,0.3788,559.5,1660148360727,0
290500278,0.3787,4997.7,1660148360945,1
290500279,0.3788,143.0,1660148362085,0
290500280,0.3787,15673.9,1660148362123,1
290500281,0.3787,972.2,1660148363036,0
290500282,0.3787,32.4,1660148363932,0
290500283,0.3787,15.4,1660148364204,0
290500284,0.3786,74938.4,1660148365147,1
290500285,0.3786,758.4,1660148365446,0
290500286,0.3785,2420.8,1660148365883,1
290500287,0.3785,12176.7,1660148366187,1
290500288,0.3785,48182.5,1660148367524,0
290500289,0.3784,2181.8,1660148368062,1
290500290,0.3785,15.4,1660148368205,0
290500291,0.3784,15.8,1660148370526,1
290500292,0.3784,440.8,1660148371096,1
290500293,0.3785,15.3,1660148372203,0
290500294,0.3784,792.8,1660148372238,1
290500295,0.3784,351.2,1660148372726,1
290500296,0.3784,5392.6,1660148373421,1
290500297,0.3785,15.4,1660148376205,0
290500298,0.3784,255.0,1660148376937,1
290500299,0.3784,3448.4,1660148377478,1
290500300,0.3783,21000.0,1660148378068,1
290500301,0.3783,8120.1,1660148378257,1
290500302,0.3782,26.4,1660148378571,1
290500303,0.3782,10997.7,1660148379238,1
290500304,0.3783,416.7,1660148379658,0
290500305,0.3783,15.3,1660148380217,0
290500306,0.3783,48.7,1660148380473,0
290500307,0.3782,265.3,1660148381736,1
290500308,0.3782,100.0,1660148382203,1
290500309,0.3782,1031.1,1660148383037,1
290500310,0.3782,26567.4,1660148384155,1
290500311,0.3783,15.4,1660148384204,0
290500312,0.3782,1615.2,1660148384463,1
290500313,0.3782,147.9,1660148384697,1
290500314,0.3782,255.2,1660148385899,1
290500315,0.3782,4699.4,1660148386947,1
290500316,0.3783,15.3,1660148388208,0
290500317,0.3782,2578.6,1660148388515,1
290500318,0.3782,544.0,1660148389098,1
290500319,0.3782,157.8,1660148389387,1
290500320,0.3782,5510.0,1660148389633,1
290500321,0.3782,233.1,1660148390401,1
290500322,0.3782,5018.0,1660148391016,1
290500323,0.3783,15.4,1660148392204,0
290500324,0.3782,3645.1,1660148392482,1
290500325,0.3783,1068.8,1660148392497,0
290500326,0.3783,6899.7,1660148392716,0
290500327,0.3783,85.5,1660148393007,1
290500328,0.3784,13017.2,1660148393619,0
290500329,0.3783,3964.7,1660148394034,1
290500330,0.3783,26.4,1660148394864,1
290500331,0.3784,131.5,1660148395527,0
290500332,0.3784,15.4,1660148396207,0
290500333,0.3783,28887.8,1660148396385,1
290500334,0.3782,279.6,1660148398079,1
290500335,0.3782,104.6,1660148399141,1
290500336,0.3783,15.3,1660148400226,0
290500337,0.3782,37520.8,1660148403564,1
290500338,0.3782,267.2,1660148403671,0
290500339,0.3782,1602.1,1660148403799,0
290500340,0.3781,30.0,1660148404043,1
290500341,0.3782,15.4,1660148404208,0
290500342,0.3782,13.3,1660148404453,0
290500343,0.3782,4288.2,1660148405073,0
290500344,0.3782,15.3,1660148408204,0
290500345,0.3782,478.3,1660148408751,0
290500346,0.3782,132.4,1660148409247,0
290500347,0.3781,8361.9,1660148409601,1
290500348,0.3781,26.4,1660148410442,1
290500349,0.3781,6135.0,1660148411157,1
290500350,0.3782,515.7,1660148411506,0
290500351,0.3782,15.4,1660148412204,0
290500352,0.3781,38508.5,1660148412511,1
290500353,0.3781,15.3,1660148416204,0
290500354,0.378,352.9,1660148418642,1
290500355,0.3781,93.2,1660148419743,0
290500356,0.3781,15.4,1660148420204,0
290500357,0.378,275.7,1660148420461,1
290500358,0.3781,525.5,1660148421669,0
290500359,0.3781,133.3,1660148422170,0
290500360,0.3781,15.4,1660148424205,0
290500361,0.378,6225.1,1660148424912,1
290500362,0.378,26.4,1660148425979,1
290500363,0.378,509.0,1660148426699,1
290500364,0.378,2000.0,1660148426947,1
290500365,0.378,1446.2,1660148427706,1
290500366,0.378,50.8,1660148427948,1
290500367,0.378,14178.9,1660148428087,1
290500368,0.3781,15.3,1660148428203,0
290500369,0.378,17.5,1660148428227,1
290500370,0.378,114.1,1660148428353,1
290500371,0.3779,701.8,1660148429187,1
290500372,0.378,669.4,1660148429461,0
290500373,0.3779,53.8,1660148429614,1
290500374,0.378,159.9,1660148429687,0
290500375,0.3779,139.1,1660148431315,1
290500376,0.378,552.9,1660148432204,0
290500377,0.3779,5.1,1660148432820,1
290500378,0.3779,673.8,1660148434023,1
290500379,0.3779,15999.1,1660148435064,1
290500380,0.378,223.6,1660148435064,0
290500381,0.378,15.3,1660148436204,0
290500382,0.378,134.1,1660148436386,0
290500383,0.3779,313.3,1660148437422,1
290500384,0.3779,248.4,1660148438557,1
290500385,0.378,119411.6,1660148438766,0
290500386,0.378,4935.2,1660148438934,0
290500387,0.378,266.7,1660148439353,0
290500388,0.378,15.4,1660148440213,0
290500389,0.3779,50.0,1660148440977,1
290500390,0.3779,26.4,1660148441391,1
290500391,0.3779,1173.2,1660148442227,1
290500392,0.378,498.8,1660148443268,0
290500393,0.3779,998.8,1660148443320,1
290500394,0.378,2568.0,1660148443797,0
290500395,0.3779,1768.2,1660148444008,1
290500396,0.378,15.3,1660148444204,0
290500397,0.378,15.4,1660148448206,0
290500398,0.3779,38519.6,1660148449384,1
290500399,0.3779,1466.3,1660148449639,1
290500400,0.3779,138.6,1660148450215,1
290500401,0.3779,13.8,1660148450838,1
290500402,0.3779,58.5,1660148451378,1
290500403,0.378,239.2,1660148451613,0
290500404,0.378,15.3,1660148452203,0
290500405,0.378,561.3,1660148452897,0
290500406,0.3779,10950.6,1660148452916,1
290500407,0.3779,582.5,1660148455381,1
290500408,0.378,15.4,1660148456204,0
290500409,0.3779,48.2,1660148456484,1
290500410,0.3779,12260.3,1660148457811,1
290500411,0.378,1267.5,1660148457866,0
290500412,0.378,23.8,1660148459099,0
290500413,0.3779,1000.0,1660148459204,1
290500414,0.3779,13815.6,1660148459993,1
290500415,0.378,15.4,1660148460240,0
290500416,0.3779,250.7,1660148460344,1
290500417,0.3779,262.6,1660148461560,1
290500418,0.378,1594.5,1660148463274,0
290500419,0.3779,29.8,1660148463395,1
290500420,0.378,13211.2,1660148463446,0
290500421,0.378,15.3,1660148464207,0
290500422,0.3779,4606.2,1660148464799,1
290500423,0.378,7904.3,1660148465626,0
290500424,0.3779,1395.4,1660148467905,1
290500425,0.378,15.4,1660148468206,0
290500426,0.3779,5000.0,1660148469058,1
290500427,0.3779,7517.7,1660148471418,1
290500428,0.3778,170091.2,1660148471418,1
290500429,0.3777,29367.5,1660148471418,1
290500430,0.3777,49670.4,1660148471527,1
290500431,0.3777,15.3,1660148472205,0
290500432,0.3777,343.0,1660148473104,0
290500433,0.3776,385.7,1660148476063,1
290500434,0.3777,32.6,1660148476187,0
290500435,0.3777,4234.0,1660148476877,0
290500436,0.3777,22325.4,1660148477837,0
290500437,0.3778,4122.6,1660148477837,0
290500438,0.3778,15.3,1660148480209,0
290500439,0.3778,280.0,1660148482248,0
290500440,0.3777,23157.0,1660148482949,1
290500441,0.3776,910.1,1660148483455,1
290500442,0.3777,289.7,1660148483573,0
290500443,0.3776,50.0,1660148484071,1
290500444,0.3777,15.4,1660148484205,0
290500445,0.3776,4556.6,1660148484349,1
