Config	Symbol	ADG Long	Days on Binance
.\recursive_longonly_03-18-23\TRXUSDT_20230317185618_eead0\TRXUSDT	TRXUSDT	0.06%	1751
.\recursive_longonly_03-17-23\BNBUSDT_20230316194859_9c85d\BNBUSDT	BNBUSDT	0.06%	1968
.\recursive_longonly_03-18-23\DYDXUSDT_20230317185618_eead0\DYDXUSDT	DYDXUSDT	0.06%	565
.\recursive_longonly_03-23-23\XTZUSDT_20230323041214_98a5b\XTZUSDT	XTZUSDT	0.06%	1281
.\recursive_longonly_03-23-23\LTCUSDT_20230323041214_98a5b\LTCUSDT	LTCUSDT	0.05%	1931
.\recursive_longonly_03_26_23\TRXUSDT_20230327051838_b74b7\TRXUSDT	TRXUSDT	0.05%	1751
.\recursive_longonly_03-17-23\XMRUSDT_20230316194859_9c85d\XMRUSDT	XMRUSDT	0.05%	1474
.\recursive_longonly_03-23-23\TRXUSDT_20230323041214_98a5b\TRXUSDT	TRXUSDT	0.05%	1751
.\recursive_longonly_03-23-23\ZRXUSDT_20230323041214_98a5b\ZRXUSDT	ZRXUSDT	0.05%	1489
.\recursive_longonly_03-18-23\ZRXUSDT_20230317185618_eead0\ZRXUSDT	ZRXUSDT	0.05%	1489
.\recursive_longonly_03-23-23\ZECUSDT_20230323041214_98a5b\ZECUSDT	ZECUSDT	0.05%	1468
.\recursive_longonly_03-23-23\EOSUSDT_20230323041214_98a5b\EOSUSDT	EOSUSDT	0.05%	1765
.\recursive_longonly_03-16-23\ETHUSDT_20230316175629_9c85d\ETHUSDT	ETHUSDT	0.04%	2049
.\recursive_longonly_03-17-23\LTCUSDT_20230316194859_9c85d\LTCUSDT	LTCUSDT	0.04%	1931
.\recursive_longonly_03-18-23\EOSUSDT_20230317185618_eead0\EOSUSDT	EOSUSDT	0.04%	1765
.\recursive_longonly_03-17-23\EOSUSDT_20230316194859_9c85d\EOSUSDT	EOSUSDT	0.04%	1765
.\recursive_longonly_03-17-23\TRXUSDT_20230316194859_9c85d\TRXUSDT	TRXUSDT	0.04%	1751
.\recursive_longonly_03-18-23\LTCUSDT_20230317185618_eead0\LTCUSDT	LTCUSDT	0.04%	1931
.\recursive_longonly_03-18-23\ZECUSDT_20230317185618_eead0\ZECUSDT	ZECUSDT	0.04%	1468
.\recursive_longonly_03-17-23\BTCUSDT_20230316194859_9c85d\BTCUSDT	BTCUSDT	0.03%	2049
.\recursive_longonly_03-16-23\BTCUSDT_20230316175629_9c85d\BTCUSDT	BTCUSDT	0.03%	2049
