Config	Symbol	ADG Long	Days on Binance
.\recursive_longonly_03-17-23\GALUSDT_20230316194859_9c85d\GALUSDT	GALUSDT	0.14%	327
.\recursive_longonly_03-23-23\AVAXUSDT_20230323041214_98a5b\AVAXUSDT	AVAXUSDT	0.14%	917
.\recursive_longonly_03-23-23\MANAUSDT_20230323041214_98a5b\MANAUSDT	MANAUSDT	0.14%	964
.\recursive_longonly_03-23-23\HBARUSDT_20230323041214_98a5b\HBARUSDT	HBARUSDT	0.14%	1276
.\recursive_longonly_03-18-23\APTUSDT_20230317185618_eead0\APTUSDT	APTUSDT	0.14%	160
.\recursive_longonly_03-23-23\DOGEUSDT_20230323041214_98a5b\DOGEUSDT	DOGEUSDT	0.14%	1362
.\recursive_longonly_03-23-23\APTUSDT_20230323041214_98a5b\APTUSDT	APTUSDT	0.14%	160
.\recursive_longonly_03-23-23\GALUSDT_20230323041214_98a5b\GALUSDT	GALUSDT	0.14%	327
.\recursive_longonly_03-23-23\THETAUSDT_20230323041214_98a5b\THETAUSDT	THETAUSDT	0.14%	1448
.\recursive_longonly_03-18-23\MANAUSDT_20230317185618_eead0\MANAUSDT	MANAUSDT	0.13%	964
.\recursive_longonly_03-23-23\SXPUSDT_20230323041214_98a5b\SXPUSDT	SXPUSDT	0.13%	981
.\recursive_longonly_03_26_23\GALAUSDT_20230327051838_b74b7\GALAUSDT	GALAUSDT	0.13%	561
.\recursive_longonly_03-17-23\INJUSDT_20230316194859_9c85d\INJUSDT	INJUSDT	0.13%	888
.\recursive_longonly_03-18-23\INJUSDT_20230317185618_eead0\INJUSDT	INJUSDT	0.13%	888
.\recursive_longonly_03-14-23\ZECUSDT_20230314060211_35b41\ZECUSDT	ZECUSDT	0.13%	1468
.\recursive_longonly_03-23-23\AXSUSDT_20230323041214_98a5b\AXSUSDT	AXSUSDT	0.13%	874
.\recursive_longonly_03_26_23\GRTUSDT_20230327051838_b74b7\GRTUSDT	GRTUSDT	0.13%	830
.\recursive_longonly_03-23-23\INJUSDT_20230323041214_98a5b\INJUSDT	INJUSDT	0.13%	888
.\recursive_longonly_03_26_23\AVAXUSDT_20230327051838_b74b7\AVAXUSDT	AVAXUSDT	0.12%	917
.\recursive_longonly_03-18-23\SXPUSDT_20230317185618_eead0\SXPUSDT	SXPUSDT	0.12%	981
.\recursive_longonly_03-17-23\SANDUSDT_20230316194859_9c85d\SANDUSDT	SANDUSDT	0.12%	956
.\recursive_longonly_03-23-23\ARUSDT_20230323041214_98a5b\ARUSDT	ARUSDT	0.12%	683
.\recursive_longonly_03-23-23\COTIUSDT_20230323041214_98a5b\COTIUSDT	COTIUSDT	0.12%	1126
.\recursive_longonly_03-17-23\GALAUSDT_20230316194859_9c85d\GALAUSDT	GALAUSDT	0.12%	561
.\recursive_longonly_03-17-23\HBARUSDT_20230316194859_9c85d\HBARUSDT	HBARUSDT	0.12%	1276
.\recursive_longonly_03-17-23\AVAXUSDT_20230316194859_9c85d\AVAXUSDT	AVAXUSDT	0.12%	917
.\recursive_longonly_03_26_23\APTUSDT_20230327051838_b74b7\APTUSDT	APTUSDT	0.12%	160
.\recursive_longonly_03-17-23\WOOUSDT_20230316194859_9c85d\WOOUSDT	WOOUSDT	0.12%	413
.\recursive_longonly_03-17-23\SUSHIUSDT_20230316194859_9c85d\SUSHIUSDT	SUSHIUSDT	0.12%	938
.\recursive_longonly_03_26_23\ARUSDT_20230327051838_b74b7\ARUSDT	ARUSDT	0.12%	683
.\recursive_longonly_03-18-23\THETAUSDT_20230317185618_eead0\THETAUSDT	THETAUSDT	0.12%	1448
.\recursive_longonly_03-18-23\GALUSDT_20230317185618_eead0\GALUSDT	GALUSDT	0.12%	327
.\recursive_longonly_03-18-23\WOOUSDT_20230317185618_eead0\WOOUSDT	WOOUSDT	0.12%	413
.\recursive_longonly_03-23-23\SKLUSDT_20230323041214_98a5b\SKLUSDT	SKLUSDT	0.12%	847
.\recursive_longonly_03-18-23\SUSHIUSDT_20230317185618_eead0\SUSHIUSDT	SUSHIUSDT	0.12%	938
.\recursive_longonly_03_26_23\SXPUSDT_20230327051838_b74b7\SXPUSDT	SXPUSDT	0.11%	981
.\recursive_longonly_03-18-23\ARUSDT_20230317185618_eead0\ARUSDT	ARUSDT	0.11%	683
.\recursive_longonly_03-23-23\SANDUSDT_20230323041214_98a5b\SANDUSDT	SANDUSDT	0.11%	956
.\recursive_longonly_03-17-23\LINKUSDT_20230316194859_9c85d\LINKUSDT	LINKUSDT	0.11%	1532
.\recursive_longonly_03-17-23\ATOMUSDT_20230316194859_9c85d\ATOMUSDT	ATOMUSDT	0.11%	1429
.\recursive_longonly_03-18-23\GRTUSDT_20230317185618_eead0\GRTUSDT	GRTUSDT	0.11%	830
.\recursive_longonly_03-18-23\HNTUSDT_20230317185618_eead0\HNTUSDT	HNTUSDT	0.11%	915
.\recursive_longonly_03-23-23\RUNEUSDT_20230323041214_98a5b\RUNEUSDT	RUNEUSDT	0.11%	935
.\recursive_longonly_03_26_23\SANDUSDT_20230327051838_b74b7\SANDUSDT	SANDUSDT	0.11%	956
.\recursive_longonly_03-18-23\COTIUSDT_20230317185618_eead0\COTIUSDT	COTIUSDT	0.11%	1126
.\recursive_longonly_03_26_23\ENJUSDT_20230327051838_b74b7\ENJUSDT	ENJUSDT	0.11%	1440
.\recursive_longonly_03-18-23\OCEANUSDT_20230317185618_eead0\OCEANUSDT	OCEANUSDT	0.11%	951
.\recursive_longonly_03-23-23\WOOUSDT_20230323041214_98a5b\WOOUSDT	WOOUSDT	0.11%	413
.\recursive_longonly_03-23-23\ADAUSDT_20230323041214_98a5b\ADAUSDT	ADAUSDT	0.11%	1806
.\recursive_longonly_03-17-23\GRTUSDT_20230316194859_9c85d\GRTUSDT	GRTUSDT	0.11%	830
.\recursive_longonly_03-23-23\XRPUSDT_20230323041214_98a5b\XRPUSDT	XRPUSDT	0.11%	1789
.\recursive_longonly_03-23-23\ANKRUSDT_20230323041214_98a5b\ANKRUSDT	ANKRUSDT	0.11%	1344
.\recursive_longonly_03-18-23\APEUSDT_20230317185618_eead0\APEUSDT	APEUSDT	0.11%	376
.\recursive_longonly_03-23-23\GALAUSDT_20230323041214_98a5b\GALAUSDT	GALAUSDT	0.11%	561
.\recursive_longonly_03-18-23\ALPHAUSDT_20230317185618_eead0\ALPHAUSDT	ALPHAUSDT	0.11%	899
.\recursive_longonly_03-18-23\GALAUSDT_20230317185618_eead0\GALAUSDT	GALAUSDT	0.11%	561
.\recursive_longonly_03-23-23\GMTUSDT_20230323041214_98a5b\GMTUSDT	GMTUSDT	0.11%	384
.\recursive_longonly_03-23-23\KSMUSDT_20230323041214_98a5b\KSMUSDT	KSMUSDT	0.11%	935
.\recursive_longonly_03-18-23\SANDUSDT_20230317185618_eead0\SANDUSDT	SANDUSDT	0.11%	956
.\recursive_longonly_03-18-23\SNXUSDT_20230317185618_eead0\SNXUSDT	SNXUSDT	0.11%	992
.\recursive_longonly_03-23-23\AAVEUSDT_20230323041214_98a5b\AAVEUSDT	AAVEUSDT	0.10%	894
.\recursive_longonly_03-23-23\ATOMUSDT_20230323041214_98a5b\ATOMUSDT	ATOMUSDT	0.10%	1429
.\recursive_longonly_03_26_23\LINKUSDT_20230327051838_b74b7\LINKUSDT	LINKUSDT	0.10%	1532
.\recursive_longonly_03-18-23\NEARUSDT_20230317185618_eead0\NEARUSDT	NEARUSDT	0.10%	895
.\recursive_longonly_03-23-23\UNIUSDT_20230323041214_98a5b\UNIUSDT	UNIUSDT	0.10%	922
.\recursive_longonly_03-18-23\CHZUSDT_20230317185618_eead0\CHZUSDT	CHZUSDT	0.10%	1299
.\recursive_longonly_03_26_23\HNTUSDT_20230327051838_b74b7\HNTUSDT	HNTUSDT	0.10%	915
.\recursive_longonly_03-23-23\ONEUSDT_20230323041214_98a5b\ONEUSDT	ONEUSDT	0.10%	1396
.\recursive_longonly_03-18-23\DOTUSDT_20230317185618_eead0\DOTUSDT	DOTUSDT	0.10%	951
.\recursive_longonly_03_26_23\FTMUSDT_20230327051838_b74b7\FTMUSDT	FTMUSDT	0.10%	1386
.\recursive_longonly_03-23-23\SUSHIUSDT_20230323041214_98a5b\SUSHIUSDT	SUSHIUSDT	0.10%	938
.\recursive_longonly_03-23-23\LINKUSDT_20230323041214_98a5b\LINKUSDT	LINKUSDT	0.10%	1532
.\recursive_longonly_03_26_23\SKLUSDT_20230327051838_b74b7\SKLUSDT	SKLUSDT	0.10%	847
.\recursive_longonly_03-18-23\SKLUSDT_20230317185618_eead0\SKLUSDT	SKLUSDT	0.10%	847
.\recursive_longonly_03-23-23\CHRUSDT_20230323041214_98a5b\CHRUSDT	CHRUSDT	0.10%	1055
.\recursive_longonly_03-18-23\AAVEUSDT_20230317185618_eead0\AAVEUSDT	AAVEUSDT	0.10%	894
.\recursive_longonly_03-23-23\RENUSDT_20230323041214_98a5b\RENUSDT	RENUSDT	0.10%	1280
.\recursive_longonly_03_26_23\ANKRUSDT_20230327051838_b74b7\ANKRUSDT	ANKRUSDT	0.10%	1344
.\recursive_longonly_03-18-23\ATOMUSDT_20230317185618_eead0\ATOMUSDT	ATOMUSDT	0.10%	1429
.\recursive_longonly_03-17-23\KSMUSDT_20230316194859_9c85d\KSMUSDT	KSMUSDT	0.10%	935
.\recursive_longonly_03-18-23\OMGUSDT_20230317185618_eead0\OMGUSDT	OMGUSDT	0.10%	1455
.\recursive_longonly_03-18-23\AUDIOUSDT_20230317185618_eead0\AUDIOUSDT	AUDIOUSDT	0.10%	885
.\recursive_longonly_03-18-23\ADAUSDT_20230317185618_eead0\ADAUSDT	ADAUSDT	0.10%	1806
.\recursive_longonly_03-23-23\CHZUSDT_20230323041214_98a5b\CHZUSDT	CHZUSDT	0.10%	1299
.\recursive_longonly_03-18-23\XRPUSDT_20230317185618_eead0\XRPUSDT	XRPUSDT	0.10%	1789
.\recursive_longonly_03-23-23\HNTUSDT_20230323041214_98a5b\HNTUSDT	HNTUSDT	0.10%	915
.\recursive_longonly_03-18-23\ENSUSDT_20230317185618_eead0\ENSUSDT	ENSUSDT	0.10%	503
.\recursive_longonly_03_26_23\APEUSDT_20230327051838_b74b7\APEUSDT	APEUSDT	0.10%	376
.\recursive_longonly_03-17-23\MANAUSDT_20230316194859_9c85d\MANAUSDT	MANAUSDT	0.10%	964
.\recursive_longonly_03-23-23\OMGUSDT_20230323041214_98a5b\OMGUSDT	OMGUSDT	0.09%	1455
.\recursive_longonly_03-23-23\1INCHUSDT_20230323041214_98a5b\1INCHUSDT	1INCHUSDT	0.09%	823
.\recursive_longonly_03-18-23\AXSUSDT_20230317185618_eead0\AXSUSDT	AXSUSDT	0.09%	874
.\recursive_longonly_03-23-23\ALPHAUSDT_20230323041214_98a5b\ALPHAUSDT	ALPHAUSDT	0.09%	899
.\recursive_longonly_03-23-23\ALGOUSDT_20230323041214_98a5b\ALGOUSDT	ALGOUSDT	0.09%	1375
.\recursive_longonly_03-18-23\ALGOUSDT_20230317185618_eead0\ALGOUSDT	ALGOUSDT	0.09%	1375
.\recursive_longonly_03-17-23\DOTUSDT_20230316194859_9c85d\DOTUSDT	DOTUSDT	0.09%	951
.\recursive_longonly_03_26_23\ONEUSDT_20230327051838_b74b7\ONEUSDT	ONEUSDT	0.09%	1396
.\recursive_longonly_03_26_23\ALGOUSDT_20230327051838_b74b7\ALGOUSDT	ALGOUSDT	0.09%	1375
.\recursive_longonly_03_26_23\1INCHUSDT_20230327051838_b74b7\1INCHUSDT	1INCHUSDT	0.09%	823
.\recursive_longonly_03-17-23\ALGOUSDT_20230316194859_9c85d\ALGOUSDT	ALGOUSDT	0.09%	1375
.\recursive_longonly_03-23-23\APEUSDT_20230323041214_98a5b\APEUSDT	APEUSDT	0.09%	376
.\recursive_longonly_03-18-23\ONEUSDT_20230317185618_eead0\ONEUSDT	ONEUSDT	0.09%	1396
.\recursive_longonly_03-18-23\UNIUSDT_20230317185618_eead0\UNIUSDT	UNIUSDT	0.09%	922
.\recursive_longonly_03-23-23\FTMUSDT_20230323041214_98a5b\FTMUSDT	FTMUSDT	0.09%	1386
.\recursive_longonly_03-23-23\ENSUSDT_20230323041214_98a5b\ENSUSDT	ENSUSDT	0.09%	503
.\recursive_longonly_03-18-23\VETUSDT_20230317185618_eead0\VETUSDT	VETUSDT	0.09%	1707
.\recursive_longonly_03-18-23\ZILUSDT_20230317185618_eead0\ZILUSDT	ZILUSDT	0.09%	1498
.\recursive_longonly_03-23-23\ENJUSDT_20230323041214_98a5b\ENJUSDT	ENJUSDT	0.09%	1440
.\recursive_longonly_03-17-23\XRPUSDT_20230316194859_9c85d\XRPUSDT	XRPUSDT	0.09%	1789
.\recursive_longonly_03-23-23\AUDIOUSDT_20230323041214_98a5b\AUDIOUSDT	AUDIOUSDT	0.09%	885
.\recursive_longonly_03-17-23\ADAUSDT_20230316194859_9c85d\ADAUSDT	ADAUSDT	0.09%	1806
.\recursive_longonly_03-17-23\RUNEUSDT_20230316194859_9c85d\RUNEUSDT	RUNEUSDT	0.09%	935
.\recursive_longonly_03-23-23\OCEANUSDT_20230323041214_98a5b\OCEANUSDT	OCEANUSDT	0.09%	951
.\recursive_longonly_03-17-23\AXSUSDT_20230316194859_9c85d\AXSUSDT	AXSUSDT	0.09%	874
.\recursive_longonly_03_26_23\AUDIOUSDT_20230327051838_b74b7\AUDIOUSDT	AUDIOUSDT	0.09%	885
.\recursive_longonly_03-18-23\CHRUSDT_20230317185618_eead0\CHRUSDT	CHRUSDT	0.09%	1055
.\recursive_longonly_03-23-23\ZILUSDT_20230323041214_98a5b\ZILUSDT	ZILUSDT	0.08%	1498
